	fourgram	fivegram
0	0.9311	0.9311
1	0.9311	0.9311
2	0.9311	0.9311
3	0.931	0.9311
4	0.9311	0.9311
5	0.9311	0.9311
6	0.931	0.931
7	0.9311	0.9311
8	0.931	0.931
9	0.9311	0.9311
10	0.9311	0.9311
11	0.931	0.931
12	0.931	0.931
13	0.9311	0.9311
14	0.9311	0.9311
15	0.9311	0.9311
16	0.9311	0.931
17	0.9311	0.9311
18	0.9311	0.9311
19	0.931	0.931
20	0.931	0.931
21	0.9311	0.9311
22	0.9311	0.9311
23	0.9311	0.9311
24	0.9311	0.9311
25	0.9311	0.9311
26	0.931	0.931
27	0.9311	0.9311
28	0.9311	0.9311
29	0.931	0.931
30	0.9311	0.9311
31	0.9311	0.9311
32	0.9311	0.9311
33	0.931	0.9311
34	0.9311	0.931
35	0.9311	0.9311
36	0.9311	0.9311
37	0.9311	0.9311
38	0.931	0.931
39	0.9311	0.9311
40	0.931	0.931
41	0.9311	0.9311
42	0.9311	0.9311
43	0.9311	0.9311
44	0.931	0.931
45	0.9311	0.9311
46	0.9311	0.9311
47	0.9311	0.9311
48	0.9311	0.9311
