	Base Case	RandomOverSampler0	SMOTE1	ADASYN2
0	0.7835351089588378	0.6474576271186441	0.7738498789346246	0.773365617433414
1	0.7854721549636804	0.6532687651331719	0.7675544794188862	0.7762711864406779
2	0.7825665859564165	0.6619854721549637	0.7777239709443098	0.7738498789346246
3	0.7883777239709443	0.6581113801452785	0.7753026634382567	0.7738498789346246
4	0.7811138014527845	0.6595641646489104	0.7699757869249396	0.7690072639225182
5	0.7820823244552059	0.6469733656174335	0.7675544794188862	0.7762711864406779
6	0.785956416464891	0.6644067796610169	0.7709443099273607	0.774818401937046
7	0.7786924939467311	0.6765133171912833	0.7757869249394673	0.7757869249394673
8	0.7825665859564165	0.6648910411622276	0.7704600484261501	0.7767554479418887
9	0.784503631961259	0.6547215496368038	0.7714285714285715	0.7772397094430993
